ticker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SHREECEM,,,,815,401,1176,1531,1827,1146,1934,3004,2892,1495,2959,1312
SHRIRAMFIN,,,,1970,1650,1789,1938,3896,3778,3439,3278,3549,8214,9960,12644
SIEMENS,1290,,,844,1688,3938,1669,1402,1678,1036,1452,1993,2640,3639,
SUNPHARMA,,,4315,4581,6403,6571,9048,3479,3810,5010,2799,4481,9408,11088,
TATACONSUM,,,,707,500,170,662,753,735,809,1311,1456,1794,1696,1777
TATAMOTORS,,,,18869,21703,14126,9315,11155,-31371,-10580,-10474,-7003,3394,27955,38651
TATAPOWER,,,,975,1484,1281,1450,2773,3693,1958,1941,2535,5457,5732,6320
TATASTEEL,,,,6722,-1388,193,-1391,21135,15841,-1395,13844,50227,18235,-1147,8413
TCS,,,,25402,26298,31840,34513,34092,41563,42248,43760,51687,56907,61997,65331
TECHM,,,,3815,3618,3857,3853,4879,5543,5058,5953,7452,6446,3224,5653
TITAN,,,,1010,1049,868,973,1530,1957,2102,1327,2904,4447,4623,4535
TORNTPHARM,,,582,844,940,2343,1088,931,562,1187,1526,1226,1847,2352,
TRENT,,,,1,200,90,128,147,168,165,-205,111,552,1921,2030
TVSMOTOR,,,,307,444,580,658,931,1083,865,822,1067,1936,2703,3535
ULTRACEMCO,,,,2858,2986,3421,3872,3301,3468,5183,8001,8524,7416,9422,7528
UNITDSPR,,,73,-4213,-1635,366,163,912,1012,1160,540,1087,1279,1857,
VBL,,,-46,4,191,79,291,434,696,363,1007,2024,2739,3433,
VEDL,,,,9493,-9925,-28540,13652,19569,13560,-8259,17213,32964,20276,20363,26877
WIPRO,,,,10114,11224,11494,11039,10242,11542,12252,13903,15141,14766,14721,17496
ZYDUSLIFE,,,809,942,1446,2099,1612,2312,2382,1495,2331,5084,2585,4832,
